"User ID";"Datetime";"Loyality_Points";"Session"
754;"18-10-2022 00:00";4005.697;"S1"
449;"18-10-2022 00:00";3778.074;"S1"
748;"18-10-2022 00:00";1588.21;"S1"
137;"18-10-2022 00:00";2874.197;"S1"
956;"18-10-2022 00:01";21.601;"S1"
205;"18-10-2022 00:01";729.2;"S1"
687;"18-10-2022 00:01";6145.313;"S1"
296;"18-10-2022 00:01";2363.873;"S1"
85;"18-10-2022 00:01";2737.831;"S1"
183;"18-10-2022 00:01";1232.073;"S1"
407;"18-10-2022 00:01";4192.015;"S1"
809;"18-10-2022 00:01";429.503;"S1"
884;"18-10-2022 00:01";3082.743;"S1"
765;"18-10-2022 00:01";4974.397;"S1"
750;"18-10-2022 00:01";558.323;"S1"
795;"18-10-2022 00:02";2517.19;"S1"
738;"18-10-2022 00:02";881.0;"S1"
765;"18-10-2022 00:02";4974.397;"S1"
417;"18-10-2022 00:02";6112.707;"S1"
179;"18-10-2022 00:02";2502.603;"S1"
744;"18-10-2022 00:02";1039.953;"S1"
765;"18-10-2022 00:02";4974.397;"S1"
436;"18-10-2022 00:02";1262.235;"S1"
647;"18-10-2022 00:02";456.794;"S1"
348;"18-10-2022 00:03";345.807;"S1"
828;"18-10-2022 00:03";2332.299;"S1"
426;"18-10-2022 00:03";2324.057;"S1"
602;"18-10-2022 00:03";3708.971;"S1"
765;"18-10-2022 00:03";4974.397;"S1"
783;"18-10-2022 00:04";429.361;"S1"
182;"18-10-2022 00:04";8840.907;"S1"
602;"18-10-2022 00:04";3708.971;"S1"
519;"18-10-2022 00:04";1517.577;"S1"
151;"18-10-2022 00:04";54.601;"S1"
663;"18-10-2022 00:04";6981.217;"S1"
836;"18-10-2022 00:04";4010.984;"S1"
927;"18-10-2022 00:05";4482.001;"S1"
2;"18-10-2022 00:05";12040.475;"S1"
765;"18-10-2022 00:05";4974.397;"S1"
765;"18-10-2022 00:05";4974.397;"S1"
651;"18-10-2022 00:06";3693.023;"S1"
663;"18-10-2022 00:06";6981.217;"S1"
440;"18-10-2022 00:06";265.397;"S1"
289;"18-10-2022 00:06";3633.476;"S1"
765;"18-10-2022 00:06";4974.397;"S1"
990;"18-10-2022 00:06";902.8;"S1"
289;"18-10-2022 00:06";3633.476;"S1"
449;"18-10-2022 00:06";3778.074;"S1"
365;"18-10-2022 00:06";12855.052;"S1"
544;"18-10-2022 00:07";102.323;"S1"
502;"18-10-2022 00:07";4076.058;"S1"
449;"18-10-2022 00:07";3778.074;"S1"
451;"18-10-2022 00:07";253.804;"S1"
826;"18-10-2022 00:07";2529.951;"S1"
602;"18-10-2022 00:07";3708.971;"S1"
247;"18-10-2022 00:08";2328.42;"S1"
296;"18-10-2022 00:08";2363.873;"S1"
713;"18-10-2022 00:08";630.199;"S1"
247;"18-10-2022 00:08";2328.42;"S1"
856;"18-10-2022 00:08";6224.519;"S1"
407;"18-10-2022 00:08";4192.015;"S1"
122;"18-10-2022 00:08";439.027;"S1"
618;"18-10-2022 00:08";4516.648;"S1"
517;"18-10-2022 00:09";1724.722;"S1"
876;"18-10-2022 00:09";373.012;"S1"
558;"18-10-2022 00:09";173.064;"S1"
296;"18-10-2022 00:09";2363.873;"S1"
540;"18-10-2022 00:09";4917.243;"S1"
60;"18-10-2022 00:09";1373.31;"S1"
946;"18-10-2022 00:10";5422.328;"S1"
922;"18-10-2022 00:10";4332.588;"S1"
837;"18-10-2022 00:10";531.57;"S1"
137;"18-10-2022 00:10";2874.197;"S1"
920;"18-10-2022 00:10";12535.789;"S1"
89;"18-10-2022 00:10";1368.409;"S1"
237;"18-10-2022 00:10";1709.402;"S1"
999;"18-10-2022 00:10";124.803;"S1"
168;"18-10-2022 00:10";4057.065;"S1"
845;"18-10-2022 00:10";2211.738;"S1"
442;"18-10-2022 00:10";860.54;"S1"
851;"18-10-2022 00:11";865.743;"S1"
171;"18-10-2022 00:11";307.006;"S1"
765;"18-10-2022 00:11";4974.397;"S1"
636;"18-10-2022 00:11";2471.01;"S1"
240;"18-10-2022 00:11";3341.72;"S1"
182;"18-10-2022 00:11";8840.907;"S1"
765;"18-10-2022 00:11";4974.397;"S1"
